driverStandingsId,raceId,driverId,points,position
69729,1030,822,326,2
69730,1030,1,413,1
69731,1030,830,278,3
69732,1030,20,240,5
69733,1030,844,264,4
69734,1030,825,20,16
69735,1030,807,37,14
69736,1030,8,43,12
69737,1030,840,21,15
69738,1030,826,37,13
69739,1030,842,95,7
69740,1030,846,49,11
69741,1030,815,52,10
69742,1030,848,92,8
69743,1030,841,14,17
69744,1030,847,0,20
69745,1030,9,1,19
69746,1030,154,8,18
69747,1030,817,54,9
69748,1030,832,96,6
70208,1047,851,0,22
70207,1047,807,10,15
70206,1047,830,214,3
70205,1047,817,119,5
70203,1047,825,1,20
70201,1047,847,3,18
70198,1047,826,32,14
70196,1047,20,33,13
70194,1047,839,62,12
70192,1047,815,125,4
70190,1047,1,347,1
70191,1047,832,105,6
70193,1047,842,75,10
70202,1047,154,2,19
70209,1047,850,0,23
70195,1047,841,4,17
70204,1047,840,75,11
70189,1047,846,97,9
70200,1047,8,4,16
70199,1047,848,105,7
70197,1047,849,0,21
70188,1047,844,98,8
70187,1047,822,223,2
70740,1073,1,387.5,2
70741,1073,830,395.5,1
70742,1073,822,226,3
70743,1073,846,160,6
70744,1073,815,190,4
70745,1073,844,159,7
70746,1073,817,115,8
70747,1073,832,164.5,5
70748,1073,852,32,14
70749,1073,840,34,13
70750,1073,8,10,16
70751,1073,841,3,18
70752,1073,839,74,11
70753,1073,847,16,15
70754,1073,20,43,12
70755,1073,854,0,19
70756,1073,842,110,9
70757,1073,849,7,17
70758,1073,4,81,10
70759,1073,853,0,21
70760,1073,9,0,20
71804,1096,844,308,2
71805,1096,832,246,5
71806,1096,1,240,6
71807,1096,847,275,4
71808,1096,825,25,13
71809,1096,822,49,10
71810,1096,839,92,8
71811,1096,852,12,17
71812,1096,4,81,9
71813,1096,855,6,18
71814,1096,854,12,16
71815,1096,840,18,15
71816,1096,848,4,19
71817,1096,817,37,11
71818,1096,846,122,7
71819,1096,849,2,20
71820,1096,807,0,22
71821,1096,815,305,3
71822,1096,830,454,1
71823,1096,842,23,14
71824,1096,20,37,12
71825,1096,856,2,21
